City:,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ushuaia,-54.8,-68.3,40.66,87.0,40.0,32.21,AR,1651181945
sao jose do belmonte,-7.8614,-38.7597,78.76,59.0,78.0,14.99,BR,1651182170
upernavik,72.7868,-56.1549,15.98,87.0,39.0,3.85,GL,1651182170
rikitea,-23.1203,-134.9692,77.2,65.0,31.0,20.31,PF,1651182061
novodolinskiy,49.705,72.7047,39.78,40.0,94.0,6.13,KZ,1651182171
severo-kurilsk,50.6789,156.125,34.0,94.0,100.0,14.63,RU,1651182171
punta arenas,-53.15,-70.9167,42.91,75.0,40.0,26.46,CL,1651182066
albany,42.6001,-73.9662,53.17,23.0,15.0,5.01,US,1651182104
burnie,-41.0667,145.9167,62.92,91.0,64.0,3.98,AU,1651182172
east london,-33.0153,27.9116,65.84,49.0,1.0,6.64,ZA,1651182172
mao,39.8885,4.2658,59.56,94.0,75.0,11.5,ES,1651182173
vila velha,-20.3297,-40.2925,80.55,85.0,0.0,5.75,BR,1651182173
college,64.8569,-147.8028,53.1,44.0,40.0,5.75,US,1651182174
gat,31.61,34.7642,69.4,60.0,0.0,0.96,IL,1651182174
hilo,19.7297,-155.09,84.27,72.0,100.0,8.05,US,1651181879
saldanha,-33.0117,17.9442,57.25,91.0,27.0,15.01,ZA,1651182175
avarua,-21.2078,-159.775,82.45,78.0,20.0,13.8,CK,1651182175
kirakira,-10.4544,161.9205,84.13,74.0,100.0,4.18,SB,1651182177
butaritari,3.0707,172.7902,81.81,79.0,99.0,15.93,KI,1651182177
bredasdorp,-34.5322,20.0403,56.8,94.0,66.0,2.37,ZA,1651182177
kodiak,57.79,-152.4072,45.91,71.0,100.0,14.97,US,1651182178
hithadhoo,-0.6,73.0833,84.69,69.0,79.0,8.01,MV,1651182178
hofn,64.2539,-15.2082,46.15,74.0,9.0,4.81,IS,1651182179
kapaa,22.0752,-159.319,80.58,84.0,100.0,11.5,US,1651182076
banyo,6.75,11.8167,65.17,93.0,100.0,3.91,CM,1651182179
tete,-16.1564,33.5867,68.09,88.0,75.0,0.0,MZ,1651182063
atuona,-9.8,-139.0333,78.78,78.0,57.0,19.62,PF,1651182180
bluff,-46.6,168.3333,49.06,85.0,50.0,7.54,NZ,1651182180
busselton,-33.65,115.3333,54.37,80.0,39.0,6.06,AU,1651182141
foumban,5.7291,10.9001,62.58,97.0,87.0,7.0,CM,1651182181
moussoro,13.6408,16.4901,91.18,26.0,63.0,8.95,TD,1651182181
vostok,46.4856,135.8833,36.72,55.0,0.0,2.86,RU,1651182137
torbay,47.6666,-52.7314,44.76,91.0,100.0,8.05,CA,1651182182
mitsamiouli,-11.3847,43.2844,80.94,79.0,95.0,20.27,KM,1651182182
kavieng,-2.5744,150.7967,83.91,71.0,100.0,10.02,PG,1651182183
merauke,-8.4667,140.3333,78.66,88.0,100.0,10.16,ID,1651182183
itarema,-2.9248,-39.9167,77.52,89.0,81.0,9.48,BR,1651182184
mataura,-46.1927,168.8643,48.07,88.0,15.0,1.34,NZ,1651182184
cockburn town,21.4612,-71.1419,78.76,47.0,40.0,9.22,TC,1651182185
puerto ayora,-0.7393,-90.3518,78.76,77.0,13.0,9.53,EC,1651182185
chicama,-7.8447,-79.1469,64.94,73.0,77.0,7.47,PE,1651182186
arkhipo-osipovka,44.37,38.52,56.55,87.0,97.0,8.7,RU,1651182186
namibe,-15.1961,12.1522,73.35,70.0,26.0,2.66,AO,1651182186
malanje,-9.5402,16.341,64.92,96.0,98.0,1.66,AO,1651182187
bucerias,20.75,-105.3333,86.58,47.0,38.0,8.05,MX,1651182125
vaini,-21.2,-175.2,78.96,69.0,40.0,12.66,TO,1651182118
port alfred,-33.5906,26.891,66.88,53.0,10.0,11.1,ZA,1651182069
yellowknife,62.456,-114.3525,39.72,48.0,20.0,20.71,CA,1651182068
hermanus,-34.4187,19.2345,55.8,88.0,98.0,3.42,ZA,1651182188
chokurdakh,70.6333,147.9167,0.05,97.0,99.0,3.85,RU,1651182044
puerto baquerizo moreno,-0.9,-89.6,77.99,69.0,0.0,11.5,EC,1651182188
luderitz,-26.6481,15.1594,60.33,69.0,8.0,6.67,NA,1651182189
tasiilaq,65.6145,-37.6368,35.76,86.0,5.0,5.23,GL,1651182189
trelew,-43.249,-65.3051,47.64,29.0,25.0,8.66,AR,1651182190
mandalgovi,45.7625,106.2708,30.13,32.0,4.0,14.56,MN,1651182190
bridlington,54.0831,-0.1919,45.9,79.0,100.0,4.76,GB,1651182191
ugoofaaru,5.6667,73.0,84.6,69.0,66.0,3.27,MV,1651182191
saskylakh,71.9167,114.0833,24.46,93.0,100.0,10.29,RU,1651182192
tessalit,20.1986,1.0114,82.98,10.0,0.0,6.6,ML,1651182192
thompson,55.7435,-97.8558,48.36,40.0,100.0,12.66,CA,1651182192
augusto correa,-1.0217,-46.635,74.75,96.0,92.0,3.58,BR,1651182193
solnechnyy,50.7214,136.6319,34.65,74.0,35.0,2.86,RU,1651182193
wahiawa,21.5028,-158.0236,82.72,60.0,75.0,13.8,US,1651182194
jacareacanga,-6.2222,-57.7528,76.01,93.0,96.0,2.21,BR,1651182194
belyy yar,53.6039,91.3903,39.09,56.0,0.0,6.71,RU,1651182195
aksha,50.2814,113.2867,30.31,68.0,73.0,15.57,RU,1651182195
qasigiannguit,68.8193,-51.1922,26.85,92.0,100.0,3.38,GL,1651182196
inhambane,-23.865,35.3833,68.83,80.0,46.0,5.1,MZ,1651182196
victoria,22.2855,114.1577,81.32,88.0,16.0,4.0,HK,1651182131
bandarbeyla,9.4942,50.8122,82.99,78.0,24.0,6.89,SO,1651182197
kochevo,59.5994,54.3125,20.39,97.0,70.0,2.98,RU,1651182197
cidreira,-30.1811,-50.2056,66.74,88.0,99.0,9.93,BR,1651182197
lebu,-37.6167,-73.65,52.56,75.0,7.0,15.5,CL,1651182198
gonen,40.1049,27.654,55.36,94.0,1.0,4.45,TR,1651182198
jamestown,42.097,-79.2353,47.52,36.0,0.0,10.36,US,1651182199
lompoc,34.6391,-120.4579,71.69,61.0,0.0,26.46,US,1651181939
georgetown,5.4112,100.3354,80.53,93.0,20.0,3.44,MY,1651182199
esperance,-33.8667,121.9,49.84,72.0,82.0,11.07,AU,1651182032
port-gentil,-0.7193,8.7815,80.56,94.0,75.0,0.0,GA,1651182200
tilichiki,60.4667,166.1,31.48,91.0,90.0,9.78,RU,1651182200
tuktoyaktuk,69.4541,-133.0374,8.6,85.0,100.0,12.66,CA,1651182050
ponta do sol,32.6667,-17.1,65.71,81.0,95.0,1.5,PT,1651182201
hervey bay,-25.2986,152.8535,69.03,95.0,33.0,5.01,AU,1651182201
cabo san lucas,22.8909,-109.9124,88.61,26.0,0.0,9.22,MX,1651182124
nikolskoye,59.7035,30.7861,37.87,54.0,100.0,7.65,RU,1651182192
santiago del estero,-27.7951,-64.2615,67.66,33.0,100.0,4.99,AR,1651182202
broken hill,-31.95,141.4333,58.71,88.0,97.0,6.91,AU,1651182202
monte alegre,-2.0078,-54.0692,77.02,93.0,100.0,3.62,BR,1651182203
phek,25.6667,94.5,53.64,76.0,0.0,2.24,IN,1651182203
mar del plata,-38.0023,-57.5575,50.02,85.0,20.0,13.0,AR,1651182204
ancud,-41.8697,-73.8203,46.58,76.0,76.0,1.12,CL,1651182204
svetlogorsk,52.6333,29.7333,38.93,76.0,44.0,3.74,BY,1651182205
inuvik,68.3499,-133.7218,20.16,65.0,75.0,5.75,CA,1651182205
qaqortoq,60.7167,-46.0333,38.01,87.0,100.0,4.05,GL,1651182206
fukue,32.6881,128.8419,62.69,94.0,100.0,19.06,JP,1651182206
airai,-8.9266,125.4092,56.88,84.0,87.0,2.55,TL,1651182207
verkhoyansk,67.5447,133.385,11.84,94.0,92.0,2.24,RU,1651182208
rock sound,24.9,-76.2,74.71,61.0,0.0,4.65,BS,1651182209
eyl,7.9803,49.8164,82.2,74.0,5.0,6.55,SO,1651182209
dikson,73.5069,80.5464,7.93,91.0,89.0,20.0,RU,1651182209
san lawrenz,36.0553,14.204,62.85,68.0,100.0,1.99,MT,1651182210
tiksi,71.6872,128.8694,7.65,92.0,40.0,5.99,RU,1651182210
noshiro,40.2039,140.0242,50.83,48.0,100.0,6.11,JP,1651182212
damaturu,11.747,11.9608,89.94,28.0,100.0,6.6,NG,1651182212
eidfjord,60.4675,7.0719,40.59,95.0,100.0,3.65,NO,1651182213
hobart,-42.8794,147.3294,57.02,93.0,20.0,5.75,AU,1651182179
narsaq,60.9167,-46.05,50.22,74.0,100.0,1.99,GL,1651182213
srednekolymsk,67.45,153.6833,15.87,88.0,99.0,6.35,RU,1651182214
boat of garten,57.2491,-3.759,47.43,76.0,100.0,0.74,GB,1651182214
barcelos,41.5388,-8.6151,62.85,77.0,42.0,4.81,PT,1651182214
guerrero negro,27.9769,-114.0611,66.04,57.0,1.0,20.56,MX,1651182090
abbeville,50.1,1.8333,51.49,83.0,100.0,7.25,FR,1651182215
saint george,37.1041,-113.5841,83.62,7.0,0.0,19.57,US,1651182216
terrace,54.5163,-128.6035,53.51,43.0,75.0,3.44,CA,1651182216
lavrentiya,65.5833,-171.0,30.24,88.0,64.0,9.64,RU,1651182216
saint-joseph,-21.3667,55.6167,73.78,80.0,15.0,4.38,RE,1651182217
yumen,40.2833,97.2,46.69,30.0,100.0,6.73,CN,1651182217
lasa,46.6166,10.7002,54.48,74.0,3.0,3.29,IT,1651182218
shelburne,44.0787,-80.2041,45.39,31.0,0.0,11.45,CA,1651182218
quatre cocos,-20.2078,57.7625,74.08,80.0,0.0,4.72,MU,1651182218
hami,42.8,93.45,54.79,20.0,77.0,11.79,CN,1651182219
pithoragarh,29.5833,80.2167,59.09,33.0,0.0,3.98,IN,1651182219
keelung,25.1283,121.7419,82.06,89.0,1.0,2.04,TW,1651182220
kerman,30.2832,57.0788,62.46,25.0,0.0,6.91,IR,1651182161
aldan,58.6031,125.3894,24.03,87.0,99.0,2.71,RU,1651182220
songjianghe,42.1859,127.479,39.45,48.0,75.0,1.54,CN,1651182221
castro,-24.7911,-50.0119,65.26,87.0,74.0,4.09,BR,1651182221
baruun-urt,46.6806,113.2792,31.41,39.0,33.0,12.35,MN,1651182222
sao miguel do araguaia,-13.275,-50.1628,77.38,57.0,3.0,2.51,BR,1651182222
sao filipe,14.8961,-24.4956,71.74,71.0,3.0,7.47,CV,1651182222
sechura,-5.5569,-80.8222,77.14,63.0,88.0,13.62,PE,1651182223
quelimane,-17.8786,36.8883,71.55,88.0,75.0,9.22,MZ,1651182223
alakurtti,66.9672,30.3491,21.0,82.0,73.0,7.14,RU,1651182224
usinsk,65.9939,57.5281,21.92,77.0,3.0,11.23,RU,1651182224
olafsvik,64.8945,-23.7142,44.64,88.0,47.0,11.14,IS,1651182224
teeli,51.0333,90.2333,39.92,40.0,69.0,3.0,RU,1651182225
inta,66.0317,60.1659,23.97,76.0,26.0,8.93,RU,1651182225
kieta,-6.2167,155.6333,83.5,69.0,87.0,3.0,PG,1651182226
kahului,20.8947,-156.47,84.22,51.0,40.0,19.57,US,1651181893
wencheng,33.0559,113.7978,43.45,95.0,19.0,3.13,CN,1651182226
robertsport,6.7533,-11.3686,80.67,81.0,71.0,6.2,LR,1651182227
praia,14.9215,-23.5087,70.34,73.0,20.0,14.97,CV,1651182227
rabat,33.9911,-6.8401,61.16,94.0,40.0,3.44,MA,1651182227
port hedland,-20.3167,118.5667,69.85,94.0,100.0,8.05,AU,1651182228
bilma,18.6853,12.9164,86.99,10.0,60.0,5.55,NE,1651182228
biak,-0.9131,122.8766,77.09,81.0,100.0,3.69,ID,1651182229
harnai,30.1005,67.9374,80.04,17.0,56.0,3.31,PK,1651182229
visnes,59.3556,5.2242,44.22,93.0,40.0,5.75,NO,1651182230
sorong,-0.8833,131.25,76.87,88.0,100.0,7.0,ID,1651182230
macapa,0.0389,-51.0664,76.98,100.0,75.0,5.75,BR,1651182230
port elizabeth,-33.918,25.5701,59.31,80.0,0.0,1.01,ZA,1651182231
kununurra,-15.7667,128.7333,73.38,94.0,94.0,2.3,AU,1651182231
tuatapere,-46.1333,167.6833,50.67,84.0,20.0,4.27,NZ,1651182232
birao,10.2849,22.7882,80.83,52.0,80.0,7.63,CF,1651182232
coquimbo,-29.9533,-71.3436,64.13,67.0,0.0,11.5,CL,1651182220
oktyabrskoye,43.0645,44.7417,53.74,94.0,100.0,6.71,RU,1651182233
kruisfontein,-34.0033,24.7314,57.87,62.0,12.0,2.42,ZA,1651182233
lazaro cardenas,17.9583,-102.2,85.93,51.0,1.0,13.67,MX,1651182234
ontario,34.0633,-117.6509,72.39,54.0,75.0,12.66,US,1651181745
vao,-22.6667,167.4833,73.81,75.0,100.0,21.92,NC,1651182234
sitka,57.0531,-135.33,48.09,66.0,20.0,8.05,US,1651182042
ostersund,63.1792,14.6357,32.61,80.0,100.0,10.36,SE,1651182235
mehamn,71.0357,27.8492,24.71,80.0,75.0,19.57,NO,1651182235
ust-kulom,61.6864,53.6902,20.59,93.0,76.0,3.24,RU,1651182236
araras,-22.3569,-47.3842,82.08,59.0,5.0,3.31,BR,1651182236
cayenne,4.9333,-52.3333,81.09,1.0,75.0,5.75,GF,1651182236
kattivakkam,13.2167,80.3167,85.06,89.0,19.0,14.94,IN,1651182237
lorengau,-2.0226,147.2712,82.6,72.0,100.0,0.4,PG,1651182237
mwanza,-2.5167,32.9,71.65,88.0,75.0,0.0,TZ,1651182238
tuchola,53.5879,17.8591,44.01,64.0,67.0,4.18,PL,1651182238
chandler,33.3062,-111.8412,93.45,8.0,0.0,18.41,US,1651182170
grand gaube,-20.0064,57.6608,74.37,82.0,0.0,1.99,MU,1651182239
puerto escondido,15.85,-97.0667,86.83,62.0,40.0,9.22,MX,1651182239
amuntai,-2.4177,115.2494,73.58,99.0,97.0,1.66,ID,1651182239
sola,-13.8833,167.55,83.07,79.0,100.0,0.0,VU,1651182240
mezen,65.8522,44.24,26.71,75.0,89.0,12.97,RU,1651182240
nevesinje,43.2586,18.1133,52.66,78.0,6.0,12.06,BA,1651182241
ribas do rio pardo,-20.4431,-53.7592,82.45,33.0,59.0,2.84,BR,1651182241
pevek,69.7008,170.3133,23.0,99.0,100.0,6.13,RU,1651182241
buin,-33.7333,-70.75,71.87,45.0,0.0,3.11,CL,1651182242
cape town,-33.9258,18.4232,62.11,88.0,75.0,13.8,ZA,1651182231
faya,18.3851,42.4509,59.52,52.0,0.0,4.12,SA,1651182242
ordubad,38.9059,46.0234,60.49,74.0,52.0,4.74,AZ,1651182243
poum,-20.2333,164.0167,73.74,85.0,100.0,12.3,NC,1651182243
opuwo,-18.0607,13.84,74.14,36.0,62.0,2.62,NA,1651182244
vermillion,42.7794,-96.9292,73.56,84.0,100.0,14.34,US,1651182244
souillac,-20.5167,57.5167,71.98,94.0,20.0,5.75,MU,1651182038
adre,13.4667,22.2,82.8,36.0,0.0,3.36,TD,1651182245
bethel,41.3712,-73.414,54.75,30.0,5.0,21.0,US,1651182245
pascagoula,30.3658,-88.5561,83.41,32.0,0.0,8.05,US,1651182246
gornopravdinsk,60.05,69.9,50.16,95.0,78.0,9.89,RU,1651182246
chuy,-33.6971,-53.4616,56.61,70.0,0.0,8.32,UY,1651182247
apollonia,36.9716,24.7231,62.19,72.0,33.0,8.25,GR,1651182247
puntarenas,9.9763,-84.8384,85.51,68.0,95.0,4.99,CR,1651182078
saint-philippe,-21.3585,55.7679,74.79,81.0,27.0,8.59,RE,1651182248
vidalia,32.2177,-82.4135,80.55,24.0,0.0,6.91,US,1651182248
camalu,30.85,-116.0667,63.03,59.0,1.0,21.05,MX,1651182248
tutoia,-2.7619,-42.2744,77.41,90.0,84.0,8.66,BR,1651182249
port hueneme,34.1478,-119.1951,73.09,59.0,0.0,14.97,US,1651182249
avera,33.194,-82.5271,78.55,34.0,2.0,7.11,US,1651182250
isiro,2.7739,27.616,64.58,99.0,100.0,2.55,CD,1651182250
ust-kuyga,70.0167,135.6,4.28,98.0,98.0,4.36,RU,1651182251
minas,-34.3759,-55.2377,48.97,62.0,0.0,8.08,UY,1651182147
sioux lookout,50.1001,-91.917,50.07,13.0,75.0,6.91,CA,1651182251
namatanai,-3.6667,152.4333,82.47,71.0,100.0,5.77,PG,1651182252
broome,42.2506,-75.833,48.18,30.0,0.0,13.8,US,1651182252
walvis bay,-22.9575,14.5053,83.35,21.0,1.0,14.97,NA,1651182253
aktanysh,55.7216,54.0829,38.41,59.0,99.0,9.64,RU,1651182253
bambous virieux,-20.3428,57.7575,74.21,94.0,20.0,5.75,MU,1651182198
mogadishu,2.0371,45.3438,83.16,75.0,100.0,9.6,SO,1651182254
ichinohe,40.2069,141.3017,49.15,49.0,100.0,2.39,JP,1651182254
kita,13.0349,-9.4895,89.15,40.0,51.0,4.63,ML,1651182254
severomuysk,56.1481,113.4267,7.3,97.0,58.0,3.36,RU,1651182255
laguna,38.421,-121.4238,72.1,35.0,0.0,5.75,US,1651182255
dalvik,65.9702,-18.5286,48.13,73.0,27.0,7.36,IS,1651182256
alofi,-19.0595,-169.9187,80.49,89.0,40.0,17.27,NU,1651182256
elektrenai,54.7667,24.6333,38.48,65.0,21.0,6.17,LT,1651182257
beboto,8.2668,16.939,75.96,65.0,100.0,5.19,TD,1651182257
pafos,34.7667,32.4167,62.38,67.0,0.0,2.3,CY,1651182184
azare,11.6765,10.1948,91.44,14.0,98.0,5.46,NG,1651182258
sabang,5.8933,95.3214,83.57,73.0,88.0,8.61,ID,1651182260
aykhal,66.0,111.5,25.45,87.0,100.0,8.05,RU,1651182260
bengkulu,-3.8004,102.2655,77.05,86.0,100.0,4.68,ID,1651182060
port pirie,-33.1833,138.0167,62.69,68.0,100.0,2.68,AU,1651182261
kaitangata,-46.2817,169.8464,49.03,84.0,11.0,2.84,NZ,1651182261
arraial do cabo,-22.9661,-42.0278,82.26,65.0,0.0,19.57,BR,1651182173
quebo,11.3333,-14.9333,77.09,69.0,70.0,6.22,GW,1651182262
santa vitoria do palmar,-33.5189,-53.3681,57.16,72.0,0.0,7.0,BR,1651182262
hambantota,6.1241,81.1185,75.54,100.0,40.0,2.3,LK,1651182262
tombouctou,20.0,-3.0,80.08,11.0,0.0,4.14,ML,1651182263
provideniya,64.3833,-173.3,30.36,74.0,75.0,18.01,RU,1651182043
igrim,63.1906,64.4162,26.53,96.0,100.0,10.33,RU,1651182263
saint-augustin,51.226,-58.6502,34.23,99.0,100.0,13.24,CA,1651182264
longyearbyen,78.2186,15.6401,8.44,56.0,40.0,20.71,SJ,1651182264
la ronge,55.1001,-105.2842,52.02,50.0,40.0,10.36,CA,1651182265
yulara,-25.2406,130.9889,75.04,35.0,100.0,11.5,AU,1651182265
vaitape,-16.5167,-151.75,82.29,69.0,8.0,23.67,PF,1651182266
medea,36.2642,2.7539,48.83,95.0,100.0,2.62,DZ,1651182266
los llanos de aridane,28.6585,-17.9182,62.35,91.0,40.0,10.36,ES,1651182266
husavik,66.0449,-17.3389,42.84,67.0,18.0,3.4,IS,1651182267
petropavlovsk-kamchatskiy,53.0452,158.6483,34.39,100.0,75.0,4.47,RU,1651182267
saint anthony,45.0205,-93.218,50.67,60.0,100.0,11.5,US,1651182268
belmonte,-15.8631,-38.8828,76.8,84.0,3.0,7.05,BR,1651182268
kysyl-syr,63.8986,122.7617,24.31,91.0,71.0,2.26,RU,1651182268
vitim,59.4511,112.5578,27.37,86.0,90.0,5.19,RU,1651182269
vysokogornyy,50.1167,139.15,28.89,81.0,68.0,7.85,RU,1651182269
fairbanks,64.8378,-147.7164,53.1,43.0,0.0,5.75,US,1651182016
wanaka,-44.7,169.15,52.93,72.0,4.0,3.06,NZ,1651182270
codrington,-38.2667,141.9667,63.99,71.0,87.0,13.53,AU,1651182124
pangnirtung,66.1451,-65.7125,19.4,73.0,100.0,24.16,CA,1651182116
vestmannaeyjar,63.4427,-20.2734,46.26,81.0,18.0,2.93,IS,1651182270
dingle,10.9995,122.6711,76.93,91.0,100.0,7.02,PH,1651182271
sao felix do xingu,-6.6447,-51.995,77.36,82.0,100.0,3.06,BR,1651182271
ust-nera,64.5667,143.2,12.61,88.0,99.0,6.08,RU,1651182272
leningradskiy,69.3833,178.4167,21.58,90.0,100.0,2.3,RU,1651182139
santa maria,-29.6842,-53.8069,61.9,94.0,75.0,4.61,BR,1651182272
cherskiy,68.75,161.3,17.24,93.0,100.0,10.6,RU,1651182273
iratosu,46.3167,21.2,48.25,100.0,0.0,6.91,RO,1651182273
radcliff,37.8404,-85.9491,73.36,28.0,100.0,5.75,US,1651182274
ribeira grande,38.5167,-28.7,63.0,94.0,75.0,18.41,PT,1651182274
sao gabriel da cachoeira,-0.1303,-67.0892,77.99,94.0,98.0,0.94,BR,1651182274
beohari,24.05,81.3833,86.49,15.0,27.0,4.81,IN,1651182275
filingue,14.3521,3.3168,88.12,14.0,100.0,1.77,NE,1651182275
cody,44.5263,-109.0565,58.05,52.0,75.0,11.5,US,1651182029
new norfolk,-42.7826,147.0587,56.66,87.0,3.0,3.11,AU,1651182059
amazar,53.858,120.875,33.3,53.0,100.0,6.76,RU,1651182276
padang,-0.9492,100.3543,77.56,87.0,99.0,4.32,ID,1651182118
carutapera,-1.195,-46.02,76.14,93.0,98.0,6.58,BR,1651182276
kalisz,51.7611,18.091,49.64,68.0,100.0,3.02,PL,1651182277
rio gallegos,-51.6226,-69.2181,44.65,61.0,75.0,27.63,AR,1651182098
maputo,-25.9653,32.5892,67.23,86.0,0.0,3.44,MZ,1651182277
shache,38.4167,77.2406,61.72,25.0,50.0,2.53,CN,1651182278
barrow,71.2906,-156.7887,6.82,78.0,100.0,20.71,US,1651182278
fonte boa,-2.4959,-66.2662,78.24,94.0,100.0,1.39,BR,1651182279
algeciras,36.1333,-5.4505,58.68,72.0,9.0,2.3,ES,1651182279
bansko,41.8383,23.4885,50.9,97.0,98.0,2.35,BG,1651182279
isangel,-19.55,169.2667,73.51,88.0,100.0,8.05,VU,1651182280
danielskuil,-28.1887,23.5395,60.13,61.0,5.0,17.56,ZA,1651182280
northport,33.229,-87.5772,81.57,32.0,0.0,1.01,US,1651182244
ahipara,-35.1667,173.1667,63.52,70.0,4.0,8.61,NZ,1651182282
carnarvon,-24.8667,113.6333,59.07,82.0,0.0,10.36,AU,1651182282
gudari,19.35,83.7833,79.74,70.0,25.0,0.43,IN,1651182283
pisco,-13.7,-76.2167,71.65,68.0,0.0,9.22,PE,1651182283
oistins,13.0667,-59.5333,80.69,83.0,40.0,14.97,BB,1651182283
puerto morazan,12.8504,-87.1717,90.37,45.0,73.0,4.68,NI,1651182284
machala,-3.2667,-79.9667,84.15,65.0,40.0,9.22,EC,1651182284
clyde river,70.4692,-68.5914,8.83,78.0,75.0,10.36,CA,1651182285
iqaluit,63.7506,-68.5145,15.53,61.0,75.0,8.05,CA,1651182285
mahebourg,-20.4081,57.7,74.25,94.0,20.0,5.75,MU,1651182275
kyrylivka,46.3759,35.3675,56.73,69.0,24.0,9.35,UA,1651182286
